127.0.0.1 - - [06/Nov/2023:10:51:10 +0900] "GET / HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:11 +0900] "GET / HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:11 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:11 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:14 +0900] "GET /board/list HTTP/1.1" 200 8441
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:14 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:14 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:24 +0900] "GET /board/list?type=t&keyword=%ED%85%8C%EC%8A%A4%ED%8A%B8&pageNo=1&qty=10 HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:24 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:24 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:30 +0900] "GET /board/list?type=Choose...&keyword=&pageNo=1&qty=10 HTTP/1.1" 200 8542
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:30 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:30 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /board/detail?bno=321 HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /resources/js/boardComment.js HTTP/1.1" 200 6085
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /upload/2023/11/01/981419a1-ba0f-49da-b61c-021ef6e4e67d_th_%EB%B0%B0%EB%AF%BC%EB%A1%9C%EA%B3%A02.png HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /upload/2023/11/01/beaec897-b3e6-4151-8e3e-1206f2c1f054_th_%EB%B0%B0%EB%AF%BC%EB%A1%9C%EA%B3%A01.png HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:35 +0900] "GET /comment/321/1 HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:44 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:44 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:44 +0900] "GET /member/login HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:48 +0900] "POST /member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:48 +0900] "GET /board/list HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:48 +0900] "GET /favicon.ico HTTP/1.1" 404 136
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:52 +0900] "GET /board/detail?bno=321 HTTP/1.1" 200 8564
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:52 +0900] "GET /upload/2023/11/01/981419a1-ba0f-49da-b61c-021ef6e4e67d_th_%EB%B0%B0%EB%AF%BC%EB%A1%9C%EA%B3%A02.png HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [06/Nov/2023:10:51:52 +0900] "GET /resources/js/boardComment.js HTTP/1.1" 200 6085
